seconds_before_off,country_code,race_class_band,field_size,all_run,short_fav,prob_band,dist_to_eff
120,GB,low,mid,TRUE,TRUE,prob_high,0.04287549379548392
120,GB,low,mid,TRUE,TRUE,prob_mid,0.06766705212537272
120,GB,low,mid,TRUE,TRUE,prob_low,0.09439016604325964
120,GB,low,mid,TRUE,TRUE,prob_vlow,0.16224233938774138
120,GB,low,large,FALSE,FALSE,prob_mid,0.06064797516581141
120,GB,low,large,FALSE,FALSE,prob_low,0.076957289915467
120,GB,low,large,FALSE,FALSE,prob_vlow,0.1192697007547112
120,GB,low,large,FALSE,TRUE,prob_high,0.045875701749964005
120,GB,low,large,FALSE,TRUE,prob_mid,0.06549934245240543
120,GB,low,large,FALSE,TRUE,prob_low,0.08777779191547683
120,GB,low,large,FALSE,TRUE,prob_vlow,0.15084509991996567
120,GB,low,large,TRUE,FALSE,prob_mid,0.06225761128594642
120,GB,low,large,TRUE,FALSE,prob_low,0.07907719976844164
120,GB,low,large,TRUE,FALSE,prob_vlow,0.1294481011891907
120,GB,low,large,TRUE,TRUE,prob_high,0.03684301929200946
120,GB,low,large,TRUE,TRUE,prob_mid,0.06745886536155753
120,GB,low,large,TRUE,TRUE,prob_low,0.09177683901907562
120,GB,low,large,TRUE,TRUE,prob_vlow,0.16247113395572668
120,IE,high,small,FALSE,FALSE,prob_mid,0.06294823683112306
120,IE,high,small,FALSE,FALSE,prob_low,0.11787756487834128
120,IE,high,small,FALSE,FALSE,prob_vlow,0.16729835356246792
120,IE,high,small,FALSE,TRUE,prob_high,0.03544828708801724
120,IE,high,small,FALSE,TRUE,prob_mid,0.0878735569873004
120,IE,high,small,FALSE,TRUE,prob_low,0.09711716866860497
120,IE,high,small,FALSE,TRUE,prob_vlow,0.17426143320447293
120,IE,high,small,TRUE,FALSE,prob_mid,0.06395221278835832
120,IE,high,small,TRUE,FALSE,prob_low,0.09478497298207367
120,IE,high,small,TRUE,FALSE,prob_vlow,0.12374741656476858
120,IE,high,small,TRUE,TRUE,prob_high,0.03824893891564918
120,IE,high,small,TRUE,TRUE,prob_mid,0.06930675666068982
120,IE,high,small,TRUE,TRUE,prob_low,0.09926125529669078
